,event_accum_times,event_durs,event_names,event_types
0,5.619,5619.0,instruction_traits0,instructions0
1,18.907,13288.0,survey_stai_state_instr0,instructions0
2,80.22,60.817,survey_stai_state,survey-multi-choice
3,85.186,4966.0,survey_stai_trait_instr0,instructions0
4,183.801,97.322,survey_stai_trait,survey-multi-choice
5,188.347,4546.0,survey_cesd_instr0,instructions0
6,303.703,114.08,survey_cesd,survey-multi-choice
7,332.24,28537.0,NaN0,instructions0
8,357.975,25735.0,NaN1,instructions1
9,364.167,6192.0,NaN2,instructions2
10,371.479,7312.0,NaN3,instructions3
11,372.542,1063.0,NaN4,instructions4
12,376.31,3768.0,NaN5,instructions5
13,413.296,36986.0,NaN6,instructions6
14,418.671,5375.0,NaN7,instructions7
15,422.647,3976.0,NaN8,instructions8
16,479.922,55.016,estimating_belief,similarity
17,497.714,9.593,estimating_belief,similarity
18,514.064,7.13,estimating_belief,similarity
19,529.987,6.049,estimating_belief,similarity
20,542.074,3.257,estimating_belief,similarity
21,555.617,4.945,estimating_belief,similarity
22,568.753,6.442,estimating_belief,similarity
23,583.241,7.996,estimating_belief,similarity
24,594.874,5.835,estimating_belief,similarity
25,606.817,5.089,estimating_belief,similarity
26,616.64,3.409,estimating_belief,similarity
27,632.247,7.002,estimating_belief,similarity
28,647.457,9.38,estimating_belief,similarity
29,661.216,7.089,estimating_belief,similarity
30,674.088,7.426,estimating_belief,similarity
31,685.016,5.059,estimating_belief,similarity
32,700.119,9.523,estimating_belief,similarity
33,708.785,2.939,estimating_belief,similarity
34,718.233,3.938,estimating_belief,similarity
35,727.129,3.675,estimating_belief,similarity
36,751.575,12.256,estimating_belief,similarity
37,776.165,24590.0,NaN0,instructions0
38,810.791,32.218,estimating_belief_other,similarity
39,827.038,7.194,estimating_belief_other,similarity
40,840.768,7.412,estimating_belief_other,similarity
41,852.183,4.593,estimating_belief_other,similarity
42,860.055,2.946,estimating_belief_other,similarity
43,870.151,4.242,estimating_belief_other,similarity
44,878.359,3.123,estimating_belief_other,similarity
45,893.43,9.73,estimating_belief_other,similarity
46,902.823,4.218,estimating_belief_other,similarity
47,916.871,7.795,estimating_belief_other,similarity
48,932.334,10.153,estimating_belief_other,similarity
49,941.174,3.578,estimating_belief_other,similarity
50,952.029,6.05,estimating_belief_other,similarity
51,961.528,3.146,estimating_belief_other,similarity
52,977.168,10.787,estimating_belief_other,similarity
53,985.295,3.018,estimating_belief_other,similarity
54,995.439,5.122,estimating_belief_other,similarity
55,1011.925,11.233,estimating_belief_other,similarity
56,1025.775,6.666,estimating_belief_other,similarity
57,1047.271,11.945,estimating_belief_other,similarity
58,1059.622,7.202,estimating_belief_other,similarity
59,1115.047,54.416,NaN,survey-likert
60,1138.397,22.342,NaN,survey-likert
61,1147.566,8.165,NaN,survey-multi-choice
62,1154.747,7181.0,NaN0,instructions0
63,1161.853,5.101,NaN,survey-multi-choice
64,1164.993,3140.0,NaN0,instructions0
